word,The Craft,The Wicker Man,total
heads,0,3,3
having,0,3,3
happening,0,3,3
hang,0,3,3
guy,0,3,3
guess,0,3,3
glamour,0,3,3
gave,0,3,3
funny,0,3,3
east,0,3,3
downs,0,3,3
devil,0,3,3
deep,0,3,3
crazy,0,3,3
corners,0,3,3
completely,0,3,3
close,0,3,3
car,0,3,3
called,0,3,3
butt,0,3,3
blonde,0,3,3
bill,0,3,3
bigger,0,3,3
balance,0,3,3
apartment,0,3,3
witches,0,2,2
whyd,0,2,2
weirdos,0,2,2
ways,0,2,2
wanna,0,2,2
walk,0,2,2
waiting,0,2,2
uniform,0,2,2
undo,0,2,2
underneath,0,2,2
twenty,0,
sleep,0,2,2
size,0,2,2
sha
throwing,0,2,2
surprise,0,2,2
sucks,0,2,2
straight,0,2,2
storm,0,2,2
steal,0,2,2
special,0,2,2
slut,0,2,2
slit,0,2,2
size,0,2,2
scary,0,2,2
salon,0,2,2
rush,0,2,2
rub,0,2,2
roof,0,2,2
rochelles,0,2,2
results,0,2,2
relaxed,0,2,2
reach,0,2,2
ran,0,2,2
procedure,0,2,2
powerful,0,2,2
policy,0,2,2
phone,0,2,2
party,0,2,2
noninvasive,0,2,2
needle,0,2,2
nah,0,2,2
minute,0,2,2
middle,0,2,2
lot,0,2,2
laid,0,2,2
juke,0,2,2
joke,0,2,2
jerk,0,2,2
jenny,0,2,2
impressed,0,2,2
huh,0,2,2
howd,0,2,2
hot,0,2,2
hooker,0,2,2
hard,0,2,2
hanging,0,2,2
goddamn,0,2,2
fly,0,2,2
fingers,0,2,2
feeling,0,2,2
fall,0,2,2
experience,0,2,2
especially,0,2,2
dreams,0,2,2
dream,0,2,2
discount,0,2,2
dinner,0,2,2
definitely,0,2,2
deal,0,2,2
concentrate,0,2,2
calm,0,2,2
busy,0,2,2
box,0,2,2
blessed,0,2,2
bleeding,0,2,2
blade,0,2,2
apologize,0,2,2
anyway,0,2,2
amazing,0,2,2
accident,0,2,2
wrists,0,1,1
wreckage,0,1,1
wrap,0,1,1
wow,0,1,1
worst,0,1,1
world,0,1,1
wondering,0,1,1
wonderful,0,1,1
women,0,1,1
wise,0,1,1
window,0,1,1
wick,0,1,1
whores,0,1,1
whore,0,1,1
wholeness,0,1,1
whoa,0,1,1
whered,0,1,1
whatd,0,1,1
wear,0,1,1
watching,0,1,1
wasnt,0,1,1
warranties,0,1,1
warming,0,1,1
waah,0,1,1
voice,0,1,1
view,0,1,1
veins,0,1,1
upstairs,0,1,1
upright,0,1,1
unofficially,0,1,
tragedy,0,1,1
towels,0,1,1
todays,0,1,1

turned,0,1,1
trip,0,1,1
treys,0,1,1
tremendous,0,1,1
treating,0,1,1
treat,0,1,1
travel,0,1,1
trash,0,1,1
trail,0,1,1
tragedy,0,1,1
towels,0,1,1
totally,0,1,1
todays,0,1,1
tits,0,1,1
tiny,0,1,1
thy,0,1,1
threefold,0,1,1
thoughts,0,1,1
theyd,0,1,1
therapy,0,1,1
theological,0,1,1
tempting,0,1,1
temple,0,1,1
tells,0,1,1
taxis,0,1,1
survivors,0,1,1
survival,0,1,1
surround,0,1,1
surrender,0,1,1
superb,0,1,1
summon,0,1,1
suits,0,1,1
suffering,0,1,1
suffer,0,1,1
subtle,0,1,1
stupid,0,1,1
